,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
0,Volpato,c,ROM,1,"7,0","10,0",1,0,0 / 0,0,0,0,0,1,-,5
1,Cisse' M.,a,ATA,1,"7,0","10,0",1,0,0 / 0,0,0,0,0,2,-,1
2,Forestieri,a,UDI,3,"6,83","9,0",2,0,0 / 0,0,1,1,0,7,-,4
3,Immobile,a,LAZ,31,"6,53","8,95",27,0,7 / 9,0,2,4,0,44,-,9
4,Berardi,a,SAS,33,"6,67","8,29",15,0,6 / 6,0,13,9,0,38,-,12
5,Vlahovic,a,JUV,36,"6,35","8,29",24,0,5 / 6,0,3,4,0,38,-,7
6,Bove,c,ROM,2,"6,5","8,0",1,0,0 / 0,0,0,0,0,2,-,5
7,Martinez L.,a,INT,33,"6,33","7,97",21,0,3 / 6,0,3,6,0,34,-,8
8,Osimhen,a,NAP,27,"6,44","7,94",14,0,0 / 0,0,2,5,1,33,-,2
9,Mertens,a,NAP,24,"6,46","7,85",11,0,1 / 1,0,1,2,0,31,-,2
10,Rafael Leao,a,MIL,34,"6,59","7,79",11,0,0 / 0,0,10,4,0,32,-,3
11,Zapata D.,a,ATA,24,"6,40","7,75",10,0,3 / 3,0,4,3,0,29,-,1
12,Caprari,a,VER,34,"6,5","7,71",12,0,2 / 2,0,7,4,0,30,-,13
13,Deulofeu,a,UDI,34,"6,47","7,63",13,0,1 / 1,0,5,9,0,30,-,4
14,Abraham,a,ROM,37,"6,26","7,62",17,0,3 / 3,0,4,9,0,29,-,5
15,Scamacca,a,SAS,32,"6,17","7,56",16,0,1 / 1,0,0,7,0,30,-,12
16,Simeone,a,VER,35,"6,17","7,54",17,0,0 / 1,0,4,8,0,29,-,13
17,Dzeko,a,INT,35,"6,27","7,53",13,0,0 / 0,0,6,2,0,28,-,8
18,Muriel,a,ATA,26,"6,19","7,52",9,0,2 / 2,0,8,1,0,29,-,1
19,Pasalic,c,ATA,33,"6,20","7,52",13,0,0 / 0,0,6,3,0,28,-,1
20,Barak,c,VER,29,"6,34","7,52",11,0,4 / 4,0,3,4,0,26,-,13
21,Milinkovic-Savic,c,LAZ,37,"6,43","7,51",11,0,0 / 0,0,10,4,1,30,-,9
22,Ibrahimovic,a,MIL,18,"6,39","7,5",8,0,0 / 1,0,2,2,0,23,-,3
23,Arnautovic,a,BOL,32,"6,31","7,47",14,0,2 / 3,0,1,6,0,26,-,16
24,Dybala,a,JUV,28,"6,32","7,41",10,0,1 / 2,0,5,3,0,27,-,7
25,Giroud,a,MIL,29,"6,16","7,33",11,0,2 / 2,0,3,4,0,28,-,3
26,Gabbiadini,a,SAM,16,"6,16","7,31",6,0,0 / 0,0,2,3,0,14,-,18
27,Belotti,a,TOR,22,"6,18","7,30",8,0,3 / 3,0,1,1,0,24,-,6
28,Perisic,c,INT,35,"6,5","7,3",8,0,1 / 1,0,6,4,0,25,-,8
29,Santander,a,BOL,2,"6,0","7,25",1,0,0 / 0,0,0,1,0,2,-,16
30,Beto,a,UDI,28,"6,07","7,23",11,0,0 / 0,0,0,1,0,20,-,4
31,Pellegrini Lo.,c,ROM,27,"6,35","7,20",9,0,2 / 3,0,3,6,1,23,-,5
32,Insigne,a,NAP,32,"6,31","7,19",11,0,9 / 13,0,8,2,0,24,-,2
33,Verdi,c,SAL,17,"6,12","7,12",6,0,1 / 1,0,0,3,0,21,-,10
34,Pinamonti,a,EMP,36,"6,07","7,12",13,0,4 / 4,0,1,4,0,24,-,15
35,Calhanoglu,c,INT,33,"6,27","7,11",7,0,3 / 3,0,12,11,0,25,-,8
36,Ruiz,c,NAP,31,"6,32","7,10",7,0,0 / 0,0,4,2,0,24,-,2
37,Pedro,a,LAZ,32,"6,20","7,09",9,0,0 / 0,0,4,5,0,23,-,9
38,Bonazzoli,a,SAL,31,"6,21","7,08",10,0,2 / 2,0,0,6,0,22,-,10
39,Gonzalez N.,a,FIO,33,"6,30","7,06",7,0,3 / 3,0,6,2,1,23,-,11
40,Joao Pedro,a,CAG,37,"6,05","7,01",13,0,3 / 4,0,4,9,0,24,-,
41,Maldini,c,MIL,3,"6,17","7,0",1,0,0 / 0,0,0,1,0,1,-,3
42,Verde,a,SPE,33,"6,20","6,98",8,0,1 / 2,0,6,2,0,23,-,14
43,Traore' Hj.,c,SAS,28,"6,23","6,96",7,0,0 / 0,0,1,3,0,20,-,12
44,Barella,c,INT,36,"6,49","6,92",3,0,0 / 0,0,11,9,0,23,-,8
45,Destro,a,GEN,27,"5,93","6,89",9,0,0 / 0,0,1,4,0,23,-,
46,Candreva,c,SAM,36,"6,21","6,88",7,0,1 / 2,0,10,6,1,21,-,18
47,Zaccagni,c,LAZ,30,"6,25","6,88",6,0,1 / 1,0,4,6,0,23,-,9
48,Kalinic,a,VER,13,"6,08","6,88",4,0,0 / 0,0,1,3,1,14,-,13
49,Raspadori,a,SAS,36,"6,06","6,88",10,0,0 / 0,0,4,7,1,20,-,12
50,Sabiri,c,SAM,13,"6,15","6,88",3,0,0 / 0,0,2,3,0,10,-,18
51,Brekalo,a,TOR,31,"6,15","6,87",7,0,0 / 0,0,2,1,0,21,-,6
52,Morata,a,JUV,35,"6,03","6,84",9,0,1 / 1,0,4,5,0,20,-,7
53,Sanchez,a,INT,22,"6,07","6,84",5,0,0 / 0,0,2,0,0,17,-,8
54,Mkhitaryan,c,ROM,31,"6,23","6,84",5,0,0 / 0,0,6,2,1,19,-,5
55,Jovane,a,LAZ,3,"5,83","6,83",1,0,0 / 0,0,0,0,0,7,-,9
56,Ilicic,a,ATA,17,"6,32","6,82",3,0,0 / 1,0,3,1,0,13,-,1
57,Chiesa,c,JUV,14,"6,25","6,82",2,0,0 / 0,0,2,0,0,14,-,7
58,Bajrami,c,EMP,34,"6,19","6,82",6,0,3 / 3,0,5,3,0,22,-,15
59,Orsolini,c,BOL,26,"6,04","6,81",6,0,2 / 2,0,3,2,0,17,-,16
60,Sanabria,a,TOR,25,"6,1","6,8",6,0,0 / 0,0,1,3,0,16,-,6
61,Djuricic,c,SAS,10,"6,15","6,8",2,0,0 / 0,0,1,1,0,8,-,12
62,Caputo,a,SAM,38,"5,89","6,78",11,0,0 / 1,0,4,1,0,20,-,18
63,Tonali,c,MIL,34,"6,41","6,78",5,0,0 / 0,0,2,9,0,19,-,3
64,Dumfries,d,INT,32,"6,23","6,78",5,0,0 / 0,0,4,3,0,18,-,8
65,Correa,a,INT,26,"6,08","6,77",6,0,0 / 0,0,1,2,0,18,-,8
66,Luis Alberto,c,LAZ,34,"6,10","6,76",5,0,0 / 0,0,10,5,0,19,-,9
67,Saponara,c,FIO,24,"6,27","6,75",3,0,0 / 0,0,3,1,0,18,-,11
68,Nestorovski,a,UDI,4,"6,0","6,75",1,0,0 / 0,0,0,1,0,7,-,4
69,Zielinski,c,NAP,34,"6,07","6,74",6,0,0 / 0,0,5,1,0,20,-,2
70,Aramu,c,VEN,32,"6,11","6,73",7,0,3 / 4,0,5,6,0,20,-,
71,Barrow,a,BOL,33,"6,0","6,73",6,0,0 / 0,0,6,0,0,21,-,16
72,Bonucci,d,JUV,23,"6,09","6,72",5,0,3 / 3,0,0,1,0,15,-,7
73,Lozano,a,NAP,29,"6,09","6,72",5,0,0 / 0,0,5,3,0,18,-,2
74,Petagna,a,NAP,14,"6,04","6,71",3,0,0 / 0,0,1,1,0,10,-,2
75,Samardzic,c,UDI,13,"6,08","6,69",2,0,0 / 0,0,2,0,0,14,-,4
76,Criscito,d,GEN,20,"5,98","6,68",6,0,6 / 7,0,1,4,0,13,-,
77,Henry,a,VEN,31,"5,97","6,68",9,0,0 / 0,0,2,4,1,16,-,
78,Success,a,UDI,19,"6,13","6,68",2,0,0 / 0,0,6,1,1,18,-,4
79,Felipe Anderson,c,LAZ,38,"6,01","6,67",6,0,0 / 0,0,8,2,0,21,-,9
80,Koulibaly,d,NAP,27,"6,41","6,65",3,0,0 / 0,0,1,5,1,17,-,2
81,Pereiro,c,CAG,18,"5,86","6,64",4,0,0 / 0,0,2,1,0,15,-,
82,Malinovskyi,c,ATA,30,"6,03","6,63",6,0,0 / 0,0,5,10,0,19,-,1
83,Molina N.,d,UDI,35,"6,07","6,63",7,0,0 / 0,0,2,5,1,16,-,4
84,Bremer,d,TOR,33,"6,42","6,62",3,0,0 / 0,0,1,7,0,18,-,6
85,Zurkowski,c,EMP,33,"6,09","6,62",6,0,0 / 0,0,2,5,0,17,-,15
86,Shomurodov,a,ROM,20,"6,0","6,62",3,0,0 / 0,0,4,2,0,14,-,5
87,Hernandez T.,d,MIL,32,"6,22","6,61",5,0,1 / 2,0,5,5,2,19,-,3
88,Tameze,c,VER,36,"6,28","6,61",4,0,0 / 0,0,2,4,0,18,-,13
89,Di Francesco F.,a,EMP,25,"6,04","6,6",5,0,0 / 0,0,0,2,0,16,-,15
90,Lukic,c,TOR,35,"6,2","6,6",5,0,3 / 3,0,4,10,0,14,-,6
91,Koopmeiners,c,ATA,28,"6,27","6,59",4,0,0 / 0,0,1,4,0,18,-,1
92,Coulibaly M.,c,SAL,12,"6,12","6,58",2,0,0 / 0,0,0,1,0,8,-,10
93,Gagliardini,c,INT,15,"6,1","6,57",2,0,0 / 0,0,2,2,0,11,-,8
94,Torreira,c,FIO,30,"6,2","6,57",5,0,0 / 0,0,1,8,1,15,-,11
95,Cuadrado,d,JUV,32,"6,23","6,56",4,0,0 / 0,0,3,9,0,18,-,7
96,Messias,c,MIL,26,"5,94","6,56",5,0,0 / 0,0,2,2,0,16,-,3
97,Pobega,c,TOR,31,"6,31","6,55",4,0,0 / 0,0,1,11,0,17,-,6
98,Smalling,d,ROM,25,"6,26","6,54",3,0,0 / 0,0,0,0,0,14,-,5
99,Djuric,a,SAL,32,"6,03","6,53",5,0,1 / 1,0,4,6,0,15,-,10
100,Faraoni,d,VER,32,"6,11","6,52",4,0,0 / 0,0,5,6,1,16,-,13
101,Kessie',c,MIL,30,"6,05","6,52",6,0,2 / 3,0,0,2,0,17,-,3
102,De Ligt,d,JUV,31,"6,26","6,52",3,0,0 / 0,0,1,2,1,14,-,7
103,Okereke,a,VEN,29,"5,91","6,52",7,0,0 / 0,0,0,5,1,14,-,
104,Conti,d,SAM,4,"5,88","6,5",1,0,0 / 0,0,0,1,0,5,-,18
105,Brozovic,c,INT,35,"6,4","6,5",2,0,0 / 0,0,1,7,0,15,-,8
106,Fares,d,TOR,9,"5,83","6,5",2,0,0 / 0,0,1,2,0,4,-,6
107,Caicedo,a,INT,9,"6,0","6,5",1,0,0 / 0,0,2,1,0,8,-,8
108,Okaka,a,UDI,1,"6,5","6,5",0,0,0 / 0,0,0,1,0,12,-,4
109,Rrahmani,d,NAP,33,"6,21","6,5",4,0,0 / 0,0,0,5,0,17,-,2
110,La Mantia,a,EMP,13,"6,04","6,5",2,0,0 / 0,0,0,0,0,11,-,15
111,Elmas,c,NAP,32,"6,12","6,5",3,0,0 / 0,0,4,3,0,14,-,2
112,Gemello,p,TOR,1,"6,5","6,5",0,0,0 / 0,0,0,0,0,1,-,6
113,Mckennie,c,JUV,19,"6,05","6,5",3,0,0 / 0,0,0,1,0,12,-,7
114,Udogie,d,UDI,34,"6,03","6,5",5,0,0 / 0,0,3,4,0,14,-,4
115,Cancellieri,a,VER,5,"6,0","6,5",1,0,0 / 0,0,0,1,0,5,-,13
116,Bertola,d,SPE,1,"6,5","6,5",0,0,0 / 0,0,0,0,0,1,-,14
117,Calabria,d,MIL,26,"6,21","6,48",2,0,0 / 0,0,2,2,0,15,-,3
118,Politano,a,NAP,31,"6,11","6,48",3,0,0 / 0,0,4,3,0,14,-,2
119,Lobotka,c,NAP,21,"6,38","6,48",1,0,0 / 0,0,0,2,0,12,-,2
120,Lazovic,c,VER,34,"6,21","6,47",1,0,0 / 0,0,7,2,0,15,-,13
121,Skriniar,d,INT,35,"6,26","6,47",3,0,0 / 0,0,0,3,0,16,-,8
122,Mari',d,UDI,15,"6,17","6,47",2,0,0 / 0,0,0,1,1,12,-,4
123,Kean,a,JUV,25,"5,86","6,46",5,0,0 / 0,0,2,5,0,14,-,7
124,Kalulu,d,MIL,24,"6,33","6,46",1,0,0 / 0,0,2,4,0,14,-,3
125,Cabral,a,FIO,12,"5,92","6,46",2,0,0 / 0,0,1,1,0,19,-,11
126,Bonaventura,c,FIO,31,"6,06","6,45",4,0,0 / 0,0,4,6,1,15,-,11
127,Frattesi,c,SAS,36,"6,17","6,44",4,0,0 / 0,0,3,6,0,14,-,12
128,Locatelli,c,JUV,29,"6,12","6,43",3,0,0 / 0,0,3,6,0,14,-,7
129,Veretout,c,ROM,35,"6,03","6,43",4,0,1 / 2,0,8,6,0,16,-,5
130,Dimarco,d,INT,25,"6,2","6,42",2,0,0 / 1,0,3,1,0,11,-,8
131,Miranchuk,c,ATA,18,"5,86","6,42",2,0,0 / 0,0,4,0,0,10,-,1
132,Bennacer,c,MIL,29,"6,28","6,41",2,0,0 / 0,0,1,7,0,13,-,3
133,Singo,d,TOR,35,"6,14","6,41",3,0,0 / 0,0,4,5,1,15,-,6
134,Pussetto,a,UDI,25,"5,9","6,4",4,0,1 / 1,0,2,4,0,12,-,4
135,Ederson D.s.,c,SAL,15,"6,1","6,4",2,0,0 / 0,0,1,5,0,10,-,10
136,Praet,c,TOR,23,"6,11","6,39",2,0,0 / 0,0,2,3,0,11,-,6
137,D'ambrosio,d,INT,16,"6,19","6,38",1,0,0 / 0,0,1,2,0,13,-,8
138,Florenzi,d,MIL,20,"6,1","6,38",2,0,0 / 0,0,0,2,0,9,-,3
139,Bastoni S.,d,SPE,29,"6,09","6,38",3,0,0 / 0,0,3,5,1,12,-,14
140,Darmian,d,INT,23,"6,15","6,37",2,0,0 / 0,0,1,4,0,11,-,8
141,Kulusevski,c,JUV,15,"6,0","6,37",1,0,0 / 0,0,3,1,0,11,-,7
142,Rebic,a,MIL,22,"6,05","6,36",2,0,0 / 0,0,2,2,0,13,-,3
143,Gosens,d,INT,11,"6,14","6,36",1,0,0 / 0,0,1,3,0,12,-,8
144,Sottil,c,FIO,22,"5,95","6,36",3,0,0 / 0,0,2,2,1,11,-,11
145,Di Lorenzo,d,NAP,33,"6,18","6,35",1,0,0 / 0,0,4,3,0,14,-,2
146,Bastoni,d,INT,31,"6,24","6,34",1,0,0 / 0,0,2,4,0,12,-,8
147,Agudelo,c,SPE,23,"5,96","6,33",3,0,0 / 0,0,1,1,1,11,-,14
148,Lazzari,d,LAZ,28,"5,95","6,32",3,0,0 / 0,0,3,3,0,11,-,9
149,Stulac,c,EMP,21,"5,95","6,31",2,0,0 / 0,0,2,1,0,9,-,15
150,Pjaca,a,TOR,20,"5,85","6,3",3,0,0 / 0,0,0,0,0,10,-,6
151,Zambo Anguissa,c,NAP,23,"6,37","6,30",0,0,0 / 0,0,1,5,0,10,-,2
152,Diaz B.,c,MIL,29,"5,95","6,29",3,0,0 / 0,0,3,4,0,14,-,3
153,Hickey,d,BOL,36,"5,94","6,29",5,0,0 / 0,0,1,7,0,10,-,16
154,Pereyra,c,UDI,23,"6,02","6,28",3,0,1 / 2,0,5,8,1,13,-,4
155,Piatek,a,FIO,13,"5,81","6,27",3,0,0 / 1,0,0,0,0,12,-,11
156,Tomori,d,MIL,31,"6,34","6,27",0,0,0 / 0,0,0,4,0,12,-,3
157,Scalvini,d,ATA,13,"6,08","6,27",1,0,0 / 0,0,0,1,0,9,-,1
158,De Sciglio,d,JUV,17,"6,09","6,26",1,0,0 / 0,0,2,2,1,9,-,7
159,Acerbi,d,LAZ,29,"5,90","6,26",4,0,0 / 0,0,0,1,1,12,-,9
160,Sansone,a,BOL,23,"5,98","6,26",2,0,0 / 0,0,3,6,0,8,-,16
161,Keita B.,a,CAG,20,"5,8","6,25",3,0,0 / 0,0,1,2,0,9,-,
162,El Shaarawy,a,ROM,24,"5,90","6,25",3,0,0 / 0,0,0,1,0,10,-,5
163,Bourabia,c,SPE,8,"5,94","6,25",1,0,0 / 0,0,0,1,0,3,-,14
164,Warming,a,TOR,2,"6,25","6,25",0,0,0 / 0,0,0,0,0,2,-,6
165,De Silvestri,d,BOL,31,"6,0","6,24",3,0,0 / 0,0,2,7,0,12,-,16
166,De Roon,c,ATA,30,"6,05","6,23",3,0,0 / 0,0,0,5,1,10,-,1
167,Pavoletti,a,CAG,28,"5,80","6,23",5,0,0 / 0,0,1,9,0,12,-,
168,Ansaldi,d,TOR,15,"6,1","6,23",0,0,0 / 0,0,3,2,0,8,-,6
169,Cutrone,a,EMP,24,"5,88","6,23",3,0,0 / 0,0,0,1,0,9,-,15
170,Svanberg,c,BOL,35,"5,99","6,23",3,0,0 / 0,0,3,7,0,13,-,16
171,Quagliarella,a,SAM,30,"5,78","6,22",4,0,1 / 1,0,2,2,0,12,-,18
172,Zakaria,c,JUV,9,"5,83","6,22",1,0,0 / 0,0,1,1,0,11,-,7
173,Asllani,c,EMP,18,"6,06","6,22",1,0,0 / 0,0,1,2,0,9,-,15
174,Danilo,d,JUV,21,"6,12","6,21",1,0,0 / 0,0,2,6,0,9,-,7
175,Vecino,c,INT,10,"5,95","6,2",1,0,0 / 0,0,0,2,0,4,-,8
176,Pellegri,a,TOR,10,"5,95","6,2",1,0,0 / 0,0,0,1,0,6,-,6
177,Lasagna,a,VER,26,"5,87","6,19",2,0,0 / 0,0,3,1,0,11,-,13
178,Zappacosta,d,ATA,31,"6,03","6,19",1,0,0 / 0,0,5,6,0,13,-,1
179,Nuytinck,d,UDI,26,"6,08","6,19",1,0,0 / 0,0,1,2,0,8,-,4
180,Crnigoj,c,VEN,32,"5,92","6,19",3,0,0 / 0,0,1,3,0,11,-,
181,Juan Jesus,d,NAP,14,"6,14","6,18",1,0,0 / 0,0,0,1,0,5,-,2
182,Carles Perez,a,ROM,14,"5,96","6,18",1,0,0 / 0,0,1,2,0,6,-,5
183,Krunic,c,MIL,23,"6,15","6,17",0,0,0 / 0,0,1,2,0,9,-,3
184,Maleh,c,FIO,23,"5,98","6,17",2,0,0 / 0,0,1,5,0,11,-,11
185,Chiellini,d,JUV,19,"6,21","6,16",0,0,0 / 0,0,0,2,0,7,-,7
186,Duncan,c,FIO,31,"5,95","6,16",2,0,0 / 0,0,2,3,0,10,-,11
187,Henderson L.,c,EMP,32,"5,94","6,16",2,0,0 / 0,0,3,4,0,10,-,15
188,Rovella,c,GEN,20,"6,12","6,15",0,0,0 / 0,0,3,5,0,7,-,
189,Lopez M.,c,SAS,34,"6,13","6,15",2,0,0 / 0,0,1,14,0,11,-,12
190,Maggiore,c,SPE,35,"6,01","6,14",2,0,0 / 0,0,3,9,0,12,-,14
191,Mancuso,a,EMP,7,"5,71","6,14",1,0,0 / 0,0,0,0,0,6,-,15
192,Castrovilli,c,FIO,23,"6,04","6,13",1,0,0 / 0,0,1,4,0,8,-,11
193,Vidal,c,INT,24,"6,0","6,12",1,0,0 / 0,0,1,3,0,10,-,8
194,Demiral,d,ATA,25,"6,08","6,12",1,0,0 / 0,0,2,8,0,8,-,1
195,Schouten,c,BOL,17,"6,0","6,12",1,0,0 / 0,0,1,2,1,9,-,16
196,Saelemaekers,c,MIL,34,"5,97","6,12",1,0,0 / 0,0,3,2,0,11,-,3
197,Gyasi,a,SPE,36,"5,82","6,12",6,0,0 / 0,0,0,10,0,10,-,14
198,Cambiaso,d,GEN,25,"5,94","6,12",1,0,0 / 0,0,4,3,1,8,-,
199,Podgoreanu,a,SPE,4,"5,88","6,12",0,0,0 / 0,0,1,0,0,2,-,14
200,Oliveira,c,ROM,13,"5,85","6,12",2,0,1 / 1,0,0,5,0,12,-,5
201,Mikael,a,SAL,4,"6,12","6,12",0,0,0 / 0,0,0,0,0,5,-,10
202,Toloi,d,ATA,19,"6,05","6,11",1,0,0 / 0,0,1,6,0,6,-,1
203,Rodrigo Becao,d,UDI,35,"6,06","6,11",2,0,0 / 0,0,1,10,0,10,-,4
204,Dominguez,c,BOL,27,"6,15","6,11",0,0,0 / 0,0,3,8,0,7,-,16
205,Nzola,a,SPE,18,"5,78","6,11",2,0,0 / 0,0,1,2,0,6,-,14
206,Ricci S.,c,TOR,30,"6,03","6,1",1,0,0 / 0,0,1,2,1,7,-,6
207,Theate,d,BOL,30,"5,97","6,1",2,0,0 / 0,0,1,6,0,10,-,16
208,Mario Rui,d,NAP,34,"6,04","6,09",0,0,0 / 0,0,5,7,0,11,-,2
209,Biraghi,d,FIO,37,"5,95","6,09",4,0,1 / 2,0,1,3,1,11,-,11
210,Palomino,d,ATA,33,"6,14","6,09",1,0,0 / 0,0,0,9,0,11,-,1
211,Mandragora,c,TOR,18,"6,17","6,08",0,0,0 / 0,0,2,5,1,6,-,6
212,Ibanez,d,ROM,32,"5,92","6,08",3,0,0 / 0,0,0,9,0,9,-,5
213,Amrabat,c,FIO,18,"6,06","6,08",1,0,0 / 0,0,0,6,0,8,-,11
214,Forte,a,VEN,6,"5,75","6,08",1,0,0 / 0,0,0,3,0,4,-,
215,Terzic,d,FIO,7,"6,0","6,07",0,0,0 / 0,0,1,1,0,2,-,11
216,Ikone',c,FIO,15,"5,83","6,07",1,0,0 / 0,0,1,1,0,12,-,11
217,Defrel,a,SAS,31,"5,84","6,06",2,0,0 / 0,0,2,3,0,9,-,12
